"Hugo_Symbol","CountInResponder","CountInNonResponder"
"ABCA13",3,1
"ABCA7",2,2
"ABCA9",1,1
"ABCC12",2,1
"ABCC5",2,1
"ABCC8",2,2
"ABCC9",2,1
"ABCD2",1,1
"ABCF1",3,1
"ABCG8",1,1
"ABI2",1,1
"ACACB",3,1
"ACBD5",1,1
"ACER3",1,1
"ACIN1",6,3
"ACTB",1,1
"ACTL6B",1,1
"ACTR8",1,1
"ADAM17",1,1
"ADAM21",3,1
"ADAMTS18",1,1
"ADAMTS19",1,1
"ADAMTS2",1,1
"ADAMTS7",2,1
"ADCY2",2,1
"ADCY5",1,1
"ADRA1A",1,1
"AFF1",2,2
"AFF2",1,1
"AFF3",1,1
"AGAP10",1,1
"AGO2",1,1
"AGO3",4,1
"AGRN",2,1
"AHCTF1",1,1
"AHNAK2",5,2
"AKAP6",2,1
"AKNA",2,1
"ALAS1",2,1
"ALDH5A1",1,1
"ALMS1",4,2
"ALPK2",2,2
"ALPK3",1,1
"AMBRA1",2,1
"ANK3",2,2
"ANKFN1",2,1
"ANKH",1,1
"ANKRD11",3,2
"ANKRD30A",2,5
"ANKRD30B",1,1
"ANKRD30BL",1,1
"ANO3",1,1
"ANO4",1,1
"ANXA6",1,1
"APBA2",1,1
"APC",2,1
"APC2",1,1
"APOB",3,1
"AR",1,1
"ARAP1",1,1
"ARFGEF2",1,1
"ARHGAP11A",1,1
"ARHGAP21",5,1
"ARHGAP30",1,2
"ARHGAP31",2,1
"ARHGAP39",2,3
"ARHGAP44",1,2
"ARHGEF1",2,1
"ARID1A",4,5
"ARID4A",2,2
"ARID4B",4,1
"ARL6",1,1
"ARMC2",1,1
"ARNTL",1,2
"ARRDC1",1,1
"ASAP1",2,1
"ASCC3",2,1
"ASH1L",4,3
"ASTN1",2,3
"ASXL1",1,2
"ASXL3",1,1
"ATF7IP2",2,2
"ATM",1,2
"ATP2B2",1,1
"ATP6V0D2",1,1
"ATP8B3",1,1
"ATP8B4",1,1
"ATRNL1",2,2
"AVL9",2,1
"AVPR1B",1,1
"B4GALNT4",1,1
"BAI2",1,1
"BARD1",2,1
"BARHL1",1,1
"BAZ2A",3,1
"BCL9",1,1
"BDP1",2,4
"BFSP2",2,1
"BIN2",1,1
"BIRC6",7,2
"BLM",1,5
"BMI1",1,1
"BMP1",1,2
"BMP10",1,1
"BOD1L1",4,1
"BRAP",2,1
"BRD3",1,1
"BRD4",1,1
"BRD7",3,1
"BRWD1",4,1
"BRWD3",1,1
"BSG",1,1
"BSN",2,1
"C10orf107",1,1
"C10orf118",3,1
"C11orf65",1,1
"C12orf44",1,1
"C15orf59",1,1
"C16orf91",1,1
