"gene1","gene2","FisherExactTest.p_value"
"KMT2C","TYRO3",2.61006209644793e-06
"TYRO3","KMT2C",2.61006209644794e-06
"KMT2C","SPEN",6.38620785667641e-06
"SPEN","KMT2C",6.38620785667641e-06
"IRS4","KMT2C",5.1800051800052e-05
"KMT2C","IRS4",5.1800051800052e-05
"TP53","KMT2C",0.000141595877424309
"KMT2C","TP53",0.000141595877424309
"FBLN1","KMT2C",0.000158778419647985
"KMT2C","FBLN1",0.000158778419647985
"KMT2C","TTN",0.000178236824523496
"TTN","KMT2C",0.000178236824523496
"BLM","KMT2C",0.000525561395126612
"KMT2C","BLM",0.000525561395126612
"KMT2C","PSD3",0.000525561395126612
"KMT2C","ZNF93",0.000525561395126612
"PSD3","KMT2C",0.000525561395126612
"ZNF93","KMT2C",0.000525561395126612
"KMT2C","MUC16",0.00063793140111
"MUC16","KMT2C",0.00063793140111
"TYRO3","CUBN",0.000922838771135983
"CUBN","TYRO3",0.000922838771135984
"KMT2C","ERBB4",0.00108470724898551
"ERBB4","KMT2C",0.00108470724898551
"KMT2C","ZNF716",0.00109945027486257
"ZNF716","KMT2C",0.00109945027486257
"MYCBP2","TYRO3",0.00117752904130613
"TYRO3","MYCBP2",0.00117752904130613
"KMT2C","ANKRD30A",0.00144251883382318
"KMT2C","RNF168",0.00144251883382318
"KMT2C","UBR5",0.00144251883382318
"ANKRD30A","KMT2C",0.00144251883382318
"RNF168","KMT2C",0.00144251883382318
"UBR5","KMT2C",0.00144251883382318
"KMT2C","ERBB3",0.00165848072018327
"ERBB3","KMT2C",0.00165848072018327
"KIAA0947","KMT2C",0.00190099755317147
"KMT2C","KIAA0947",0.00190099755317147
"KMT2C","MUC5B",0.00190099755317147
"KMT2C","RC3H2",0.00190099755317147
"KMT2C","RICTOR",0.00190099755317147
"KMT2C","ZNF99",0.00190099755317147
"MUC5B","KMT2C",0.00190099755317147
"RC3H2","KMT2C",0.00190099755317147
"RICTOR","KMT2C",0.00190099755317147
"ZNF99","KMT2C",0.00190099755317147
"DNAH8","TYRO3",0.00245098039215686
"LAMA3","TYRO3",0.00245098039215686
"TG","TYRO3",0.00245098039215686
"TYRO3","DNAH8",0.00245098039215686
"TYRO3","LAMA3",0.00245098039215686
"TYRO3","TG",0.00245098039215686
"DST","TYRO3",0.00275945618522009
"SYNE1","TYRO3",0.00275945618522009
"TYRO3","DST",0.00275945618522009
"TYRO3","SYNE1",0.00275945618522009
"KMT2C","ZNF721",0.00304719435154218
"ZNF721","KMT2C",0.00304719435154218
"CUBN","IRS4",0.00337309749074454
"IRS4","CUBN",0.00337309749074454
"SPEN","CUBN",0.00383743612064935
"CUBN","SPEN",0.00383743612064935
"BIRC6","TYRO3",0.00452488687782805
"RB1","TYRO3",0.00452488687782805
"TYRO3","BIRC6",0.00452488687782805
"TYRO3","RB1",0.00452488687782805
"TYRO3","XIRP2",0.00452488687782805
"XIRP2","TYRO3",0.00452488687782805
"KMT2C","BDP1",0.00465186986926117
"KMT2C","FMN2",0.00465186986926117
"KMT2C","LAMA1",0.00465186986926117
"BDP1","KMT2C",0.00465186986926117
"FMN2","KMT2C",0.00465186986926117
"LAMA1","KMT2C",0.00465186986926117
"TYRO3","ARHGAP21",0.0054137039431157
"TYRO3","CNTRL",0.0054137039431157
"TYRO3","DIDO1",0.0054137039431157
"TYRO3","KDM6A",0.0054137039431157
"TYRO3","MAST4",0.0054137039431157
"TYRO3","PRG4",0.0054137039431157
"TYRO3","RNF213",0.0054137039431157
"TYRO3","SRCAP",0.0054137039431157
"TYRO3","SZT2",0.0054137039431157
"ARHGAP21","TYRO3",0.00541370394311571
"CNTRL","TYRO3",0.00541370394311571
"DIDO1","TYRO3",0.00541370394311571
"KDM6A","TYRO3",0.00541370394311571
"MAST4","TYRO3",0.00541370394311571
"PRG4","TYRO3",0.00541370394311571
"RNF213","TYRO3",0.00541370394311571
"SRCAP","TYRO3",0.00541370394311571
"SZT2","TYRO3",0.00541370394311571
"ARID1A","KMT2C",0.00548187444739168
"KMT2C","ARID1A",0.00548187444739168
"KMT2C","MDN1",0.00548187444739168
"MDN1","KMT2C",0.00548187444739168
"KMT2D","TYRO3",0.00595748009935652
"TYRO3","KMT2D",0.00595748009935652
"NBPF10","TYRO3",0.00627133444470905
"TYRO3","NBPF10",0.00627133444470906
"FAT4","TYRO3",0.0075187969924812
"ZNF626","TYRO3",0.0075187969924812
"TYRO3","FAT4",0.0075187969924812
"TYRO3","ZNF626",0.0075187969924812
"CKAP5","KMT2C",0.00762281197063806
"CMYA5","KMT2C",0.00762281197063806
"COL11A2","KMT2C",0.00762281197063806
"DIAPH3","KMT2C",0.00762281197063806
"FAM208B","KMT2C",0.00762281197063806
"FAT3","KMT2C",0.00762281197063806
"HNRNPM","KMT2C",0.00762281197063806
"KMT2C","CKAP5",0.00762281197063806
"KMT2C","CMYA5",0.00762281197063806
"KMT2C","COL11A2",0.00762281197063806
"KMT2C","DIAPH3",0.00762281197063806
"KMT2C","FAM208B",0.00762281197063806
"KMT2C","FAT3",0.00762281197063806
"KMT2C","HNRNPM",0.00762281197063806
"KMT2C","KPRP",0.00762281197063806
